level,level_name,field_of_study,academic_field,field_of_study_cleaned,academic_field_cleaned
unknown,unknown,"-, Marketing/Marketing Management, General",marketing,marketingmarketing management general,marketing
unknown,unknown,“Wellness Counseling Certificate”,,“wellness counseling certificate”,other
unknown,unknown,"(BA) Hons Fashion, Fashion/Apparel Design",,ba hons fashion fashionapparel design,other
unknown,unknown,"(BA) Liberal Arts, Liberal Arts and Sciences/Liberal Studies",,ba liberal arts liberal arts and sciencesliberal studies,other
unknown,unknown,* Career certificate of Marketing.,,career certificate of marketing,marketing
unknown,unknown,"1st Class Honour, Information System and Computing",,st class honour information system and computing,information system
unknown,unknown,"2:1, Business Management",business management,business management,business management
unknown,unknown,"2:1, French and Hispanic Studies",,french and hispanic studies,other
unknown,unknown,"2.1, Graphic Design and Illustration",,graphic design and illustration,graphic design
unknown,unknown,"2.1, Management",,management,marketing
unknown,unknown,"2nd Lower Honours, Management",,nd lower honours management,management
unknown,unknown,A Level,,a level,other
unknown,unknown,"Academic Qualification, Computer Science and Business Administration ",computer science,academic qualification computer science and business administration,computer science
unknown,unknown,"ACCA, Accounting",accounting,acca accounting,accounting
unknown,unknown,"Accelerated Development Program, General Management / Leadership",,accelerated development program general management leadership,management
unknown,unknown,Accountancy and Finance,accounting,accountancy and finance,accounting
unknown,unknown,Accounting,accounting,accounting,accounting
unknown,unknown,Accounting & Finance,accounting,accounting finance,accounting
unknown,unknown,Accounting and Business/Management,accounting,accounting and businessmanagement,accounting
unknown,unknown,Accounting and Finance,accounting,accounting and finance,accounting
unknown,unknown,"Accounting and Management  BSc (Hons), Business and Management",accounting,accounting and management bsc hons business and management,accounting
unknown,unknown,"Accredited Editor (AE), Professionally qualified editor",,accredited editor ae professionally qualified editor,other
unknown,unknown,"ACMA, Management Accounting",,acma management accounting,accounting
unknown,unknown,"ACMA, Management Accounting",accounting,acma management accounting,accounting
diploma,diploma,"Advance Diploma in Accounting and Business, Accounting and Business/Management",accounting,advance diploma in accounting and business accounting and businessmanagement,accounting
diploma,diploma,"Advance Diploma in Computer Study, Management Information Systems, General",,advance diploma in computer study management information systems general,management
diploma,diploma,"Advance Diploma of Multimedia Design, Multimedia Design",,advance diploma of multimedia design multimedia design,other
unknown,unknown,"Advance Management Program, Leadership",,advance management program leadership,management
unknown,unknown,"advanced certificate , practical counselling",,advanced certificate practical counselling,other
unknown,unknown,"Advanced Certification Program in Cyber Security ( IIT Kanpur )   , Cyber Security",,advanced certification program in cyber security iit kanpur cyber security,cyber
